Sort,Site,Date,Cyclops Size,Cyclops count,Hesp Size,Hesp count,cop size,cop count,cop den,Pul Size,Pul Count,Chyd Size,Chydor count ,Cerio size,Cerio Count,Holo size,Holo count,clad size,clad count,clad den,fish,Elevation,SA_m2,max_depth,sample_num,liters sampled
Albion42544,Albion,6/23/16,0.64667,2549,NA,0,0.64667,2549,22.53810834,NA,0,0.52,373,1.089,242,0.8967,4,1.089,242,2.139749791,1,3345,129743.89,15,1,113.0973355
Albion42565,Albion,7/14/16,0.5369,3812,NA,0,0.5369,3812,30.33493216,NA,0,0.356,865,1.0284,2381,0.8967,107,1.0284,2381,18.94739598,1,3345,129743.89,15,2,125.6637061
Albion42579,Albion,7/28/16,0.5311,1291,NA,0,0.5311,1291,11.4149462,NA,0,0.356,1241,1.0639,4416,0.8967,1291,1.0639,4416,39.04601272,1,3345,129743.89,15,3,113.0973355
Albion42593,Albion,8/11/16,0.6409,913,NA,0,0.6409,913,8.072692393,NA,0,0.4233,71,0.89,221,0.86,199,0.89,221,1.954069024,1,3345,129743.89,15,5,113.0973355
Blue Lake42559,Blue Lake,7/8/16,NA,0,1.8092,43,1.8092,43,0.180096383,2.1775,11,NA,0,NA,0,NA,0,2.1775,11,0.046071168,0,3461,91581,42,1,238.7610417
Blue Lake42576,Blue Lake,7/25/16,NA,0,1.5193,46,1.5193,46,0.192661247,2.56,12,NA,0,NA,0,NA,0,2.56,12,0.050259456,0,3461,91581,42,3,238.7610417
Blue Lake42590,Blue Lake,8/8/16,NA,0,1.6215,39,1.6215,39,0.163343231,2.0622,13,NA,0,NA,0,NA,0,2.0622,13,0.054447744,0,3461,91581,42,5,238.7610417
Diamond Lake42551,Diamond Lake,6/30/16,0.6923,44,NA,0,0.6923,44,0.583568125,NA,14,NA,0,0.7057,7,NA,0,0.7057,21,0.27852115,1,3335,67692,7,1,75.39822369
Diamond Lake42572,Diamond Lake,7/21/16,0.5959,34,NA,0,0.5959,34,0.450939005,0.7306,16,NA,0,NA,0,NA,0,0.7306,16,0.212206591,1,3335,67692,7,3,75.39822369
Diamond Lake42583,Diamond Lake,8/1/16,0.5846,22,NA,0,0.5846,22,0.350140875,0.9214,15,0.32,1,NA,0,NA,0,0.9214,15,0.238732415,1,3335,67692,7,5,62.83185307
Forest Lake42556,Forest Lake,7/5/16,NA,0,NA,0,NA,0,0,2.08,17,NA,0,NA,0,NA,0,2.08,17,0.450939005,1,3308,30656,3,1,37.69911184
Forest Lake42580,Forest Lake,7/29/16,0.7165,51,NA,0,0.7165,51,1.352817016,NA,18,NA,0,NA,0,NA,0,NA,18,0.477464829,1,3308,30656,3,3,37.69911184
GL142558,GL1,7/7/16,0.6208,366,NA,0,0.6208,366,4.854225764,NA,0,0.5433,127,1.018,33,0.98,6,1.018,33,0.437676093,1,3425,35443.71,8,1,75.39822369
GL142572,GL1,7/21/16,0.6206,177,NA,0,0.6206,177,2.34753541,NA,0,0.532,35,1.096,14,0.84,21,1.096,14,0.185680767,1,3425,35443.71,8,2,75.39822369
GL142586,GL1,8/4/16,0.61,524,NA,0,0.61,524,6.949765848,NA,0,0.446,864,1.1337,1489,0.76,10,1.1337,1489,19.74847585,1,3425,35443.71,8,3,75.39822369
GL142600,GL1,8/18/16,0.72,93,NA,0,0.72,93,1.233450809,NA,0,0.4,203,1.1097,394,0.76,115,1.1097,394,5.225587298,1,3425,35443.71,8,5,75.39822369
GL442570,GL4,7/19/16,0.64,5,2.0116,1045,1.3258,1050,1.519206275,1.052,3,0.345,2,NA,0,NA,0,1.052,3,0.004340589,0,3550,45191.79,13,1,691.1503838
GL442577,GL4,7/26/16,NA,0,2.11,638,2.11,638,0.92309867,NA,0,0.345,1,NA,0,NA,0,NA,0,0,0,3550,45191.79,13,2,691.1503838
GL442584,GL4,8/2/16,0.68,95,2.0247,949,1.35235,1044,1.510525096,1.052,464,0.345,33,NA,0,NA,0,1.052,464,0.671344487,0,3550,45191.79,13,3,691.1503838
GL442591,GL4,8/9/16,0.64,14,2.2036,411,1.4218,425,0.614916826,1.2557,182,0.52,35,NA,0,NA,0,1.2557,182,0.263329088,0,3550,45191.79,13,4,691.1503838
GL442598,GL4,8/16/16,0.6,10,2.1433,939,1.37165,949,1.3730731,1.7625,36,0.3888,1,NA,0,NA,0,1.7625,36,0.052087072,0,3550,45191.79,13,5,691.1503838
GL442605,GL4,8/23/16,0.64,3,2.0176,585,1.3288,588,0.850755514,1.3706,121,0.3888,3,NA,0,NA,0,1.3706,121,0.175070437,0,3550,45191.79,13,6,691.1503838
Isabelle Lake42543,Isabelle Lake,6/22/16,0.4222,46,NA,0,0.4222,46,0.563163645,0.64,29,NA,0,NA,0,NA,0,0.64,29,0.35503795,1,3313,125121,8,1,81.68140899
Isabelle Lake42562,Isabelle Lake,7/11/16,0.5408,49,NA,0,0.5408,49,0.599891709,0.5133,30,NA,0,NA,0,NA,0,0.5133,30,0.367280638,1,3313,125121,8,3,81.68140899
Isabelle Lake42587,Isabelle Lake,8/5/16,0.6619,52,NA,0,0.6619,52,0.68967142,NA,31,NA,0,NA,0,NA,0,NA,31,0.41115027,1,3313,125121,8,5,75.39822369
Jasper Lake42536,Jasper Lake,6/15/16,0.4603,45,0.6253,6,0.5428,51,1.014612762,0.56,32,NA,0,0.54,4,NA,0,0.55,36,0.716197244,1,3296,24983,10,1,50.26548246
Jasper Lake42557,Jasper Lake,7/6/16,0.5841,47,NA,0,0.5841,47,0.467517645,NA,33,NA,0,NA,0,NA,0,NA,33,0.32825707,1,3296,24983,10,3,100.5309649
Lion Lake 242564,Lion Lake 2,7/13/16,NA,0,1.5317,48,1.5317,48,0.449378663,1.9933,34,NA,0,NA,0,NA,0,1.9933,34,0.318309886,0,3432,17815,9,1,106.8141502
Lion Lake 242578,Lion Lake 2,7/27/16,NA,0,1.5932,38,1.5932,38,0.355758108,1.6367,35,0.42,1,NA,0,NA,0,1.6367,35,0.327671942,0,3432,17815,9,3,106.8141502
Lion Lake 242592,Lion Lake 2,8/10/16,NA,0,1.7461,36,1.7461,36,0.358098622,1.9038,36,NA,0,NA,0,NA,0,1.9038,36,0.358098622,0,3432,17815,9,5,100.5309649
Long Lake42543,Long Lake,6/22/16,0.7498,49,NA,0,0.7498,49,0.649882684,0.7467,37,NA,0,NA,0,NA,0,0.7467,37,0.490727741,1,3253,161340,7,1,75.39822369
Long Lake42562,Long Lake,7/11/16,0.7918,39,NA,0,0.7918,39,0.517253565,1.0229,38,0.32,1,NA,0,NA,0,1.0229,38,0.503990653,1,3253,161340,7,3,75.39822369
Long Lake42587,Long Lake,8/5/16,0.6881,37,NA,0,0.6881,37,0.535339354,1.0617,39,0.29,2,NA,0,NA,0,1.0617,39,0.564276616,1,3253,161340,7,5,69.11503838
Lost Lake42523,Lost Lake,6/2/16,0.6458,47,NA,0,0.6458,47,0.935035291,0.48,40,0.3,2,NA,0,NA,0,0.48,40,0.795774715,1,2983,24983,4,1,50.26548246
Lost Lake42565,Lost Lake,7/14/16,0.9738,51,NA,0,0.9738,51,1.352817016,NA,41,NA,0,NA,0,NA,0,NA,41,1.087558778,1,2983,24983,4,5,37.69911184
Lost Lake42537,Lost Lake,6/16/16,0.53,36,NA,0,0.53,36,0.716197244,1.0143,42,0.26,3,NA,0,NA,0,1.0143,42,0.835563451,1,2983,24983,4,3,50.26548246
Mud Lake42517,Mud Lake,5/27/16,0.4804,19,NA,0,0.4804,19,0.75598598,1.2988,43,NA,0,NA,0,NA,0,1.2988,43,1.710915638,0,2480,14803,3,1,25.13274123
Mud Lake42566,Mud Lake,7/15/16,0.5183,29,NA,0,0.5183,29,1.538497783,1.2106,44,NA,0,NA,0,NA,0,1.2106,44,2.334272499,0,2480,14803,3,5,18.84955592
Mud Lake42534,Mud Lake,6/13/16,0.58,1,1.0333,15,0.80665,16,0.636619772,0.87,45,NA,0,NA,0,0.6991,23,0.87,45,1.79049311,0,2480,14803,3,3,25.13274123
Pear Reservoir42548,Pear Reservoir,6/27/16,0.4527,11,1.0035,17,0.7281,28,0.159154943,0.9462,46,NA,0,NA,0,NA,0,0.9462,46,0.261468835,1,3226,61783,16,1,175.9291886
Pear Reservoir42569,Pear Reservoir,7/18/16,0.6164,22,1.0413,16,0.82885,38,0.215995994,1.288,47,NA,0,NA,0,1.1067,3,1.288,47,0.26715294,1,3226,61783,16,3,175.9291886
Pear Reservoir42593,Pear Reservoir,8/11/16,0.7067,33,NA,0,0.7067,33,0.175070437,1.6333,48,NA,0,NA,0,1.1977,17,1.6333,48,0.254647909,1,3226,61783,16,5,188.4955592
Red Deer Lake42550,Red Deer Lake,6/29/16,0.6471,48,NA,0,0.6471,48,0.238732415,NA,49,NA,0,0.47,4,1,145,0.47,53,0.263600375,1,3163,61923,20,1,201.0619298
Red Deer Lake42571,Red Deer Lake,7/20/16,0.6223,43,NA,0,0.6223,43,0.190101738,1.3371,50,NA,0,0.58,1,NA,0,0.95855,51,0.225469503,1,3163,61923,20,3,226.1946711
Red Deer Lake42585,Red Deer Lake,8/3/16,0.677,47,NA,0,0.677,47,0.213722352,1.38,51,NA,0,NA,0,NA,0,1.38,51,0.231911488,1,3163,61923,20,5,219.9114858
Red Rock Lake42521,Red Rock Lake,5/31/16,0.6841,41,NA,0,0.6841,41,2.610141066,1.052,52,NA,0,NA,0,NA,0,1.052,52,3.310422816,1,3200,25286,1.5,1,15.70796327
Snowbank Lake42564,Snowbank Lake,7/13/16,NA,0,1.2184,49,1.2184,49,0.599891709,1.84,53,NA,0,NA,0,NA,0,1.84,53,0.64886246,0,3512,35060,7.5,1,81.68140899
Snowbank Lake42578,Snowbank Lake,7/27/16,NA,0,1.3953,38,1.3953,38,0.465222141,1.5231,54,NA,0,NA,0,NA,0,1.5231,54,0.661105148,0,3512,35060,7.5,3,81.68140899
Snowbank Lake42592,Snowbank Lake,8/10/16,NA,0,1.5927,11,1.5927,11,0.159154943,1.9155,55,NA,0,NA,0,NA,0,1.9155,55,0.795774715,0,3512,35060,7.5,5,69.11503838
Upper Diamond Lake 42551,Upper Diamond Lake ,6/30/16,0.54,1,NA,0,0.54,1,0.026525824,0.76,56,NA,0,NA,0,NA,0,0.76,56,1.485446136,1,3460,6410,3,1,37.69911184
Upper Diamond Lake 42572,Upper Diamond Lake ,7/21/16,0.7207,27,NA,0,0.7207,27,0.859436693,1.44,57,0.47,2,NA,0,NA,0,1.44,57,1.814366351,1,3460,6410,3,3,31.41592654
Upper Diamond Lake 42583,Upper Diamond Lake ,8/1/16,0.6424,25,NA,0,0.6424,25,0.795774715,0.49,58,0.325,4,NA,0,NA,0,0.49,58,1.84619734,1,3460,6410,3,5,31.41592654
Yankee Doodle 42556,Yankee Doodle ,7/5/16,0.5984,38,NA,0,0.5984,38,0.863983977,NA,59,NA,0,NA,0,0.4462,13,NA,59,1.341448806,1,3267,16072,7.5,1,43.98229715
Yankee Doodle 42580,Yankee Doodle ,7/29/16,0.7451,1747,NA,0,0.7451,1747,21.38797581,NA,60,NA,0,1,3,0.89,1983,1,63,0.77128934,1,3267,16072,7.5,3,81.68140899