Site,area_m2,lake depth,elevation,ndiv,CL_mg_L,SO4_mg_L,TDN_mg_L,NO3_mg_L,TDP_mg_L,DOP_uMOL_L,IP_uMOL_L,PO4_mg_L,DOC_mg_L,FI,UV_abs_254nm,SUVA,Chl-a,pH,Temp,Conductivity,DO,Secchi,stability ,attenuation
Blue Lake,91581,42,3461,0.275709938,0.1215,1.4525,0.215965112,0.679833333,0.00350112,0.052701116,0.060333047,0.001868756,0.667660757,1.388333333,0.018933333,2.998333333,2.514071257,6.836,5.550833333,5.666666667,7.834166667,4.583333333,0.122316599,0.368171276
Diamond Lake,67692,7,3335,0.478842401,0.1,1.924833333,0.125222618,0.201833333,0.003421674,0.058519974,0.051949263,0.001609076,0.816388114,1.388333333,0.029733333,3.618333333,2.157564252,7.643478261,11.14304348,20.17391304,5.876956522,5.333333333,0.269787735,2.049813424
Forest Lake,30656,3,3308,0.456295942,0.152,0.89875,0.131637193,0.228,0.004078634,0.078152963,0.053526317,0.001657924,0.616350029,1.36,0.019,3.1075,8.24111002,7.755384615,10.71076923,14.53846154,6.53,2.625,0.10339699,0.889896697
Isabelle Lake,125121,8,3313,0.43974166,0.175,3.165333333,0.267841592,0.563833333,0.00428842,0.087588961,0.050863297,0.00157544,0.966369931,1.361666667,0.03265,3.426666667,6.920081256,7.116,7.2072,9.92,7.8852,2.833333333,0.029835573,0.705242466
Jasper Lake,24983,10,3296,0.445796014,0.1698,1.3882,0.236057135,0.4856,0.004916586,0.106063809,0.05266887,0.001631366,1.434505405,1.378,0.05136,3.556,7.681205881,5.704,5.855333333,14.53333333,7.426666667,3.5,0.119326932,1.180694169
Lion Lake 2,17815,9,3432,0.324140272,0.1222,0.855,0.185197982,0.163333333,0.004832557,0.097957754,0.058062019,0.001798413,0.810321959,1.371666667,0.02445,3.033333333,7.29930735,7.063333333,10.08133333,6.566666667,6.961,4.583333333,0.145384502,0.453244442
Long Lake,161340,7,3253,0.569876239,0.1142,2.854833333,0.167989562,0.293,0.004472631,0.088704714,0.055694803,0.001725091,1.339090905,1.333333333,0.055183333,4.048333333,3.802262911,6.989130435,9.09173913,11,7.292173913,3.083333333,0.090106302,1.066766489
Lost Lake,24983,4,2983,0.565029114,0.2433,6.25988815,0.187868754,0.017,0.005487222,0.115542847,0.061612891,0.001908398,2.326399677,1.368333333,0.061383333,2.636666667,4.919828393,7.534,12.652,38.93333333,7.264666667,3.333333333,0.29490311,1.327329015
Mitchell,53606,2,3272,0.449431324,0.1105,2.4105,0.287825571,0.659,0.002667868,0.09995044,0.053524961,0.001657882,1.339048516,1.32,0.0528,3.945,2.144939158,7.093333333,5.013333333,10,9.363333333,1.25,0.008143796,0.896851675
Mud Lake,14803,3,2480,0.481927593,3.3833,2.815333333,0.389481368,0.0044,0.007603685,0.171114997,0.074371054,0.002303569,7.707392605,1.39,0.222666667,2.875,5.72556707,7.186,16.616,77.62666667,3.573333333,1.583333333,0.307670292,1.859743871
Pear Reservoir,61783,16,3226,0.468993941,0.179,0.999,0.221990992,0.066666667,0.003960833,0.067352389,0.06052365,0.00187466,2.349116027,1.366666667,0.09735,4.181666667,10.40175335,6.801836735,8.432653061,10.30612245,5.855714286,3.833333333,0.578572352,0.841517474
Red Deer Lake,61923,20,3163,0.504869551,0.1267,1.730666667,0.16084601,0.100666667,0.002801242,0.041770829,0.048667651,0.001507432,1.230862454,1.4,0.0354,2.88,3.169519851,8.447241379,7.116965517,9.448275862,7.327586207,5.333333333,0.519166689,0.414641812
Red Rock,25286,1.5,3096,0.575639385,0.339,0.245,0.361722499,NA,0.013772001,0.351953238,0.092677753,0.002870601,6.045628458,1.395,0.18385,3.04,4.161703974,7.31,10.54333333,26.33333333,6.306666667,1.8,0.006893046,1.067368958
Snowbank Lake,35060,7.5,3512,0.27707326,0.1555,0.966833333,0.207144609,0.309666667,0.002602002,0.057817937,0.049205069,0.001524078,0.766334918,1.363333333,0.0224,2.981666667,4.687918227,7.21,10.0408,7.36,7.0628,4.666666667,0.044764438,0.317862296
Upper Diamond Lake ,6410,3,3535,0.351495322,0.0981,2.8505,0.166998547,0.375666667,0.002946814,0.052588314,0.042550007,0.001317944,0.708930161,1.368333333,0.023183333,3.621666667,2.973411353,7.3695,7.7085,21.9,6.3715,3.166666667,0.048934142,0.444050694
Yankee Doodle,16072,7.5,3267,0.459215924,0.0738,1.3895,0.061064879,NA,0.006068437,0.134730307,0.061190056,0.001895301,0.70616642,1.3975,0.022125,3.225,6.676825611,7.046428571,11.09,11.28571429,5.871214286,3,0.375692587,0.870413938