response,elev_coef,st_error,pval,r2c,Sig
A_NO3*trans,0.204,0.052,0.0021,0.811,C_significant 
B_PO4,-0.014,0.004,0.0023,0.142,C_significant 
C_PAR_AT*tran,-0.059,0.014,0.0001,0.362,C_significant 
D_RHO,-0.06258,0.015679,0.001275,0.647,C_significant 
F_SPC,-0.145,0.03,0.0003,0.866,C_significant 
G_DOC*tran,-0.16,0.033,0.0003,0.968,C_significant 
H_Secchi,0.072,0.036,0.0672,0.725,marginal 
I_TDP* transformed,0.023,0.018,0.2181,0.853,not significant
J_FI,-0.005,0.004,0.1789,0.269,not significant
K_Chla*Tran,-0.006,0.036,0.8677,0.257,not significant
L_pH,-0.022,0.065,0.747,0.43,not significant
M_SO4*transform,-0.054,0.087,0.544,0.987,not significant